date,open,high,low,close,volume
1997-08-05,3.2013,3.2013,3.1763,3.1763,44800
1997-08-06,3.1703,3.2202,3.1703,3.2072,70800
1997-08-07,3.2332,3.2452,3.1703,3.1703,54400
1997-08-08,3.1513,3.1513,3.0834,3.0834,77600
1997-08-11,3.1014,3.1014,3.0265,3.0575,46800
1997-08-12,3.0705,3.0705,2.9956,3.0205,44400
1997-08-13,3.0455,3.0455,2.9576,2.9706,121600
1997-08-14,2.9956,3.0145,2.9836,2.9896,54800
1997-08-15,2.9766,2.9766,2.9337,2.9456,53600
1997-08-18,2.9456,2.9456,2.8458,2.9337,178800
1997-08-19,2.9576,2.9836,2.9207,2.9706,78400
1997-08-20,2.9706,3.0075,2.9706,3.0016,175600
1997-08-21,2.9956,2.9956,2.9456,2.9456,107200
1997-08-22,2.9077,2.9576,2.8837,2.9576,54400
1997-08-25,2.9836,3.0205,2.9766,3.0145,62800
1997-08-26,3.0145,3.0764,3.0145,3.0265,54400
1997-08-27,3.0205,3.0335,2.9956,3.0335,94400
1997-08-28,3.0205,3.0575,2.9956,3.0205,77200
1997-08-29,3.0205,3.0335,3.0145,3.0205,50000
1997-09-02,3.0335,3.0705,3.0335,3.0575,34000
1997-09-03,3.0705,3.0954,3.0705,3.0764,37200
1997-09-04,3.0894,3.1264,3.0894,3.1074,38800
1997-09-05,3.1264,3.1264,3.0335,3.0645,31600
1997-09-08,3.0764,3.1204,3.0645,3.1074,44800
1997-09-09,3.1074,3.1334,3.0894,3.1264,50000
1997-09-10,3.1074,3.1763,3.1074,3.1703,27600
1997-09-11,3.1703,3.1703,3.1204,3.1643,17600
1997-09-12,3.1763,3.2202,3.1763,3.2072,84000
1997-09-15,3.2202,3.2452,3.2202,3.2452,31200
1997-09-16,3.2646,3.3901,3.2646,3.3650,74800
1997-09-17,3.3710,3.3962,3.3650,3.3650,118400
1997-09-18,3.3771,3.3962,3.3590,3.3590,77600
1997-09-19,3.3710,3.3771,3.3590,3.3771,29600
1997-09-22,3.3771,3.4273,3.3771,3.4273,107600
1997-09-23,3.4273,3.4273,3.4032,3.4032,84000
1997-09-24,3.4152,3.4534,3.4152,3.4534,162800
1997-09-25,3.4403,3.4534,3.4343,3.4343,69200
1997-09-26,3.4152,3.4152,3.3901,3.4092,17600
1997-09-29,3.4152,3.4464,3.4152,3.4403,38800
1997-09-30,3.4343,3.4403,3.4273,3.4273,15200
1997-10-01,3.4343,3.4343,3.3901,3.4213,34000
1997-10-02,3.4273,3.4906,3.4273,3.4594,59600
1997-10-03,3.5659,3.6161,3.5157,3.5659,136800
1997-10-06,3.6041,3.7548,3.6041,3.7417,280400
1997-10-07,3.7548,3.7979,3.7548,3.7728,104400
1997-10-08,3.7668,3.7668,3.6854,3.7477,338800
1997-10-09,3.7166,3.7166,3.6473,3.6603,160000
1997-10-10,3.6161,3.6161,3.5277,3.5659,66800
1997-10-13,3.5539,3.6101,3.5539,3.6101,52800
1997-10-14,3.5970,3.5970,3.5599,3.5659,51200
1997-10-15,3.5659,3.5659,3.5157,3.5157,28800
1997-10-16,3.5157,3.5599,3.4775,3.4775,152000
1997-10-17,3.4403,3.4403,3.3901,3.4213,106000
1997-10-20,3.4403,3.5217,3.4343,3.5217,51600
1997-10-21,3.5468,3.6412,3.5468,3.6412,82800
1997-10-22,3.6412,3.6854,3.5780,3.6784,152400
1997-10-23,3.6222,3.7166,3.6222,3.6724,216800
1997-10-24,3.7286,3.7357,3.6543,3.6543,78800
1997-10-27,3.6352,3.6473,3.4534,3.4534,138400
1997-10-28,3.2646,3.5157,3.2646,3.5157,241200
1997-10-29,3.5097,3.6664,3.5097,3.6222,194400
1997-10-30,3.6101,3.6282,3.5408,3.6101,86000
1997-10-31,3.6412,3.6724,3.6282,3.6664,77600
1997-11-03,3.7789,3.8110,3.7608,3.7979,302000
1997-11-04,3.7919,3.8361,3.7728,3.8361,40400
1997-11-05,3.8421,3.9175,3.8361,3.8793,118800
1997-11-06,3.8612,3.9426,3.8612,3.8984,66800
1997-11-07,3.8170,3.8482,3.8050,3.8170,77200
1997-11-10,3.8291,3.8421,3.7728,3.7728,18000
1997-11-11,3.7919,3.7919,3.7226,3.7357,52800
1997-11-12,3.7106,3.7106,3.6543,3.6543,115200
1997-11-13,3.6543,3.6543,3.5719,3.6282,114000
1997-11-14,3.6352,3.6664,3.6161,3.6664,20400
1997-11-17,3.6784,3.7979,3.6784,3.7789,49200
1997-11-18,3.7919,3.7919,3.7548,3.7548,20800
1997-11-19,3.7548,3.7548,3.7166,3.7166,13200
1997-11-20,3.7226,3.7417,3.7226,3.7417,21600
1997-11-21,3.7668,3.8482,3.7668,3.8482,48800
1997-11-24,3.8231,3.8361,3.8170,3.8231,40400
1997-11-25,3.8231,3.8231,3.7477,3.7477,73200
1997-11-26,3.7357,3.7477,3.5910,3.6041,95200
1997-11-28,3.5780,3.5780,3.5408,3.5719,329600
1997-12-01,3.6161,3.7548,3.5910,3.7286,94000
1997-12-02,3.7286,3.8110,3.7286,3.7789,33600
1997-12-03,3.7789,3.7789,3.7417,3.7477,440000
1997-12-04,3.7417,3.7548,3.7166,3.7166,67200
1997-12-05,3.7166,3.7548,3.6915,3.7548,336800
1997-12-08,3.7728,3.8291,3.7728,3.8170,69600
1997-12-09,3.8050,3.8924,3.8050,3.8793,52000
1997-12-10,3.8552,3.8793,3.8110,3.8291,48400
1997-12-11,3.8231,3.8231,3.7166,3.7548,59200
1997-12-12,3.7668,3.8361,3.7417,3.8231,60800
1997-12-15,3.8291,3.8552,3.7979,3.8291,30400
1997-12-16,3.8523,3.8907,3.8341,3.8341,26000
1997-12-17,3.8402,3.8402,3.8149,3.8341,75600
1997-12-18,3.8341,3.8402,3.8088,3.8149,42800
1997-12-19,3.7512,3.7957,3.7007,3.7957,66000
1997-12-22,3.7775,3.7775,3.7330,3.7512,36400
1997-12-23,3.7391,3.7704,3.7138,3.7138,29600
1997-12-24,3.7138,3.7138,3.6765,3.6765,14400
1997-12-26,3.6765,3.6765,3.6502,3.6633,19600
1997-12-29,3.6886,3.7775,3.6886,3.7775,55600
1997-12-30,3.7896,3.8018,3.7704,3.7957,103200
1997-12-31,3.7957,3.8523,3.7957,3.8088,82000
1998-01-02,3.8149,3.8280,3.8149,3.8280,30400
1998-01-05,3.8280,4.0231,3.8280,3.9534,96400
1998-01-06,3.9291,3.9604,3.9028,3.9352,154400
1998-01-07,3.9160,3.9160,3.8018,3.8280,189200
1998-01-08,3.8088,3.8210,3.7512,3.7512,131600
1998-01-09,3.7896,3.7896,3.6633,3.6633,86400
1998-01-12,3.5623,3.6502,3.5370,3.6502,114800
1998-01-13,3.6765,3.7330,3.6765,3.6946,57600
1998-01-14,3.7391,3.7391,3.6633,3.6825,58000
1998-01-15,3.6633,3.6633,3.5754,3.5815,39200
1998-01-16,3.6128,3.6259,3.5370,3.6128,301200
1998-01-20,3.6381,3.6765,3.6320,3.6320,75600
1998-01-21,3.5997,3.6320,3.5815,3.6128,85200
1998-01-22,3.6189,3.6189,3.4481,3.4481,132000
1998-01-23,3.8149,3.8523,3.6886,3.7512,506000
1998-01-26,3.8654,4.0170,3.8654,3.9796,222400
1998-01-27,3.9796,3.9978,3.9473,3.9665,78800
1998-01-28,3.9665,3.9796,3.8402,3.8462,125200
1998-01-29,3.8088,3.8149,3.7199,3.7391,110400
1998-01-30,3.7330,3.7330,3.6502,3.7199,136000
1998-02-02,3.7775,3.8341,3.7775,3.8018,123200
1998-02-03,3.8149,3.8846,3.8149,3.8786,62400
1998-02-04,3.8654,3.8786,3.7775,3.7957,72800
1998-02-05,3.8149,3.8968,3.8149,3.8654,15200
1998-02-06,3.8846,3.9604,3.8846,3.9534,110800
1998-02-09,3.9473,4.0544,3.9473,4.0423,97600
1998-02-10,4.0423,4.1181,4.0362,4.0675,82000
1998-02-11,4.0483,4.0928,4.0423,4.0736,107600
1998-02-12,4.0483,4.1747,4.0483,4.1747,53200
1998-02-13,4.1373,4.2949,4.1181,4.2949,61600
1998-02-17,4.2949,4.3071,4.2444,4.2444,112400
1998-02-18,4.2444,4.2444,4.2060,4.2323,118800
1998-02-19,4.2323,4.2323,4.1555,4.1878,57600
1998-02-20,4.1939,4.3202,4.1625,4.2697,58800
1998-02-23,4.3333,4.3960,4.3141,4.3960,117600
1998-02-24,4.4465,4.5223,4.4020,4.4404,174800
1998-02-25,4.4465,4.4465,4.3394,4.3899,43600
1998-02-26,4.3839,4.4152,4.3263,4.3576,42000
1998-02-27,4.3515,4.3768,4.2828,4.2828,78400
1998-03-02,4.2697,4.2697,4.2191,4.2191,80800
1998-03-03,4.2191,4.2191,4.1555,4.1999,106400
1998-03-04,4.1878,4.2191,4.1878,4.1999,39600
1998-03-05,4.1878,4.2697,4.1817,4.2505,71200
1998-03-06,4.3202,4.3263,4.2444,4.2697,28000
1998-03-09,4.2828,4.3333,4.2828,4.3202,36000
1998-03-10,4.3455,4.4465,4.3455,4.4465,46000
1998-03-11,4.4465,4.5284,4.4465,4.5162,77600
1998-03-12,4.5415,4.6294,4.5415,4.6173,111600
1998-03-13,4.6365,4.6800,4.5536,4.5536,132800
1998-03-16,4.5960,4.6214,4.5767,4.6021,86000
1998-03-17,4.6344,4.6661,4.6089,4.6661,36000
1998-03-18,4.6477,4.6600,4.6027,4.6089,60400
1998-03-19,4.6027,4.6344,4.6027,4.6150,71200
1998-03-20,4.6027,4.6989,4.5904,4.6027,105600
1998-03-23,4.5771,4.5771,4.4810,4.5393,83600
1998-03-24,4.5393,4.5516,4.5066,4.5321,70000
1998-03-25,4.5577,4.6283,4.5577,4.5638,143200
1998-03-26,4.5516,4.5516,4.5127,4.5199,34000
1998-03-27,4.5260,4.5321,4.4616,4.5199,51600
1998-03-30,4.5004,4.5004,4.4432,4.4432,27200
1998-03-31,4.4432,4.4882,4.4237,4.4370,116400
1998-04-01,4.4554,4.4749,4.3859,4.4237,143200
1998-04-02,4.4176,4.4176,4.3593,4.3981,131600
1998-04-03,4.4237,4.4616,4.3981,4.4616,333600
1998-04-06,4.5004,4.5966,4.5004,4.5904,140000
1998-04-07,4.6027,4.6539,4.6027,4.6416,202800
1998-04-08,4.6416,4.6416,4.5904,4.6089,26000
1998-04-09,4.6150,4.7050,4.6150,4.7050,600000
1998-04-13,4.7561,4.8707,4.7561,4.8584,628800
1998-04-14,4.9096,5.1714,4.9096,5.1458,569200
1998-04-15,5.2553,5.3064,5.0630,5.0753,552800
1998-04-16,4.9863,5.3443,4.9607,5.2164,525200
1998-04-17,5.2164,5.2164,4.8973,4.9351,890000
1998-04-20,4.9096,4.9096,4.7561,4.8196,527600
1998-04-21,4.7561,4.8196,4.7111,4.7684,226800
1998-04-22,4.7756,4.8329,4.7173,4.7306,139200
1998-04-23,4.7111,4.7306,4.6477,4.6733,62000
1998-04-24,4.6283,4.6283,4.4749,4.5321,148800
1998-04-27,4.4493,4.4882,4.3726,4.4810,286400
1998-04-28,4.5638,4.5966,4.5127,4.5260,206400
1998-04-29,4.5393,4.6283,4.5260,4.6089,64800
1998-04-30,4.6661,4.7050,4.6661,4.6733,116800
1998-05-01,4.6794,4.6927,4.6344,4.6600,310000
1998-05-04,4.6600,4.6600,4.6027,4.6027,120400
1998-05-05,4.5771,4.5771,4.5004,4.5199,73600
1998-05-06,4.5393,4.5393,4.4616,4.5004,100000
1998-05-07,4.5260,4.5260,4.4616,4.4882,75200
1998-05-08,4.5004,4.5966,4.5004,4.5638,201200
1998-05-11,4.5904,4.6344,4.5904,4.6027,37200
1998-05-12,4.5833,4.6221,4.5454,4.6150,52400
1998-05-13,4.6150,4.6416,4.5516,4.5771,88000
1998-05-14,4.5066,4.5577,4.5066,4.5260,74400
1998-05-15,4.5260,4.5260,4.4810,4.5066,85200
1998-05-18,4.5066,4.5066,4.4554,4.4616,15200
1998-05-19,4.4749,4.5199,4.4749,4.5004,158800
1998-05-20,4.5127,4.5321,4.5004,4.5004,60400
1998-05-21,4.5066,4.5638,4.5066,4.5638,34800
1998-05-22,4.5638,4.5638,4.5066,4.5127,20000
1998-05-26,4.5904,4.6027,4.5004,4.5004,44400
1998-05-27,4.4176,4.4493,4.2703,4.3859,212000
1998-05-28,4.3981,4.4810,4.3276,4.4810,164400
1998-05-29,4.5904,4.6344,4.5833,4.5833,137600
1998-06-01,4.5577,4.6027,4.5577,4.5833,250000
1998-06-02,4.6416,4.6600,4.6283,4.6344,234000
1998-06-03,4.6539,4.7050,4.6539,4.6927,40800
1998-06-04,4.6989,4.6989,4.6283,4.6283,81200
1998-06-05,4.6416,4.6416,4.6089,4.6089,95200
1998-06-08,4.6344,4.7050,4.6344,4.6856,152000
1998-06-09,4.6794,4.6927,4.6477,4.6600,114000
1998-06-10,4.6416,4.6416,4.5710,4.5771,169600
1998-06-11,4.5771,4.5771,4.4810,4.4810,332400
1998-06-12,4.5004,4.5577,4.4554,4.5577,210800
1998-06-15,4.5004,4.5638,4.4749,4.5004,35600
1998-06-16,4.5558,4.5630,4.5116,4.5240,69600
1998-06-17,4.5497,4.5949,4.5497,4.5754,100800
1998-06-18,4.5630,4.5630,4.5116,4.5116,23600
1998-06-19,4.5363,4.5363,4.4787,4.5044,44800
1998-06-22,4.4983,4.5116,4.4602,4.4787,99600
1998-06-23,4.4530,4.4849,4.4273,4.4530,34400
1998-06-24,4.4664,4.5044,4.4407,4.5044,16800
1998-06-25,4.5301,4.6905,4.5301,4.6329,102800
1998-06-26,4.6329,4.6586,4.6206,4.6391,31600
1998-06-29,4.6586,4.7810,4.6586,4.7358,60800
1998-06-30,4.7296,4.7296,4.6525,4.6586,132400
1998-07-01,4.6720,4.7173,4.6720,4.7039,22800
1998-07-02,4.7039,4.7234,4.6844,4.7234,188800
1998-07-06,4.6977,4.7173,4.6782,4.7039,136800
1998-07-07,4.7039,4.7491,4.7039,4.7039,80400
1998-07-08,4.6844,4.6844,4.6525,4.6658,55600
1998-07-09,4.6586,4.6586,4.5630,4.5877,83200
1998-07-10,4.5754,4.5754,4.4849,4.5363,212800
